 573 DHB ratio, 573 Velocity average
0.2957690827,0.9535
0.2752075923,0.8495
0.295817138,1.4895
0.3031951907,1.2895
0.3219473497,0.4495
0.3192663833,0.695
0.3561281163,1.017
0.2938802033,1.893
0.3223924397,0.3445
0.3208775013,0.525
0.3404822928,0.857
0.334594096,0.913
0.3099868725,0.7075
0.3281356418,0.809
0.3649216825,1.442
0.3441413875,0.1175
0.3574755253,0.7095
0.3395570824,0.5176666667
0.3499802572,1.505
0.3105043308,1.046
0.360173457,0.768
0.349148865,0.2703333333
0.3307816592,1.477666667
0.3642745058,0.277
0.3362141755,2.758333333
0.3445578562,1.694
0.3631037533,0.404
0.3332600003,0.5575
0.3217763123,1.213666667
0.3030167357,1.436333333
0.3108769815,1.221333333
0.328280868,0.7066666667
0.3297328328,0.8186666667
0.3583002167,1.256
0.3226961125,1.896333333
0.345626739,0.9263333333
0.3203537452,0.2653333333
0.337791632,0.9963333333
0.33760662,0.6283333333
0.3144091626,0.665
0.3663270508,0.682
0.3754451872,0.686
0.3628575573,0.4655
0.4164319504,0.351
0.2901964043,0.837
0.344921562,0.517
0.332806022,1.182
0.3388769694,0.3965
0.3108305737,0.459
0.3318775296,0.718
0.350040412,0.777
0.3574431118,0.329
0.3423633313,1.184
0.335087969,0.4215
0.2891140143,0.3
0.2485724827,0.448
0.265353767,0.7645
0.2961282442,0.688
0.2815464223,0.459
0.2985977376,0.9685
0.320775418,0.684
0.3330695486,0.5453333333
0.3048600937,1.016666667
0.2574507287,0.5503333333
0.30555937,0.3533333333
0.2811833015,0.3443333333
0.3078479498,0.87
0.349967836,0.5003333333
0.361263878,0.7513333333
0.3045259073,0.368
0.3491251847,0.265
0.3883227314,0.5045
0.3187526568,1.1055
0.3389466395,0.7235
0.3086214745,0.078
0.3134214028,0.543
0.3237219274,0.4126666667
0.3681607405,0.3406666667
0.3560984995,0.5053333333
0.314621331,0.371
0.3442072366,0.754
0.354705328,0.398
0.3650413368,0.2236666667
0.3790604382,0.5806666667
0.3456810672,0.8413333333
0.332660154,3.631333333
0.363252763,0.7136666667
0.3350073215,0.6366666667
0.3432178737,0.923
0.343370972,0.5533333333
0.345604938,0.38
0.3577705655,0.548
0.4005535745,0.3853333333
0.3486218465,0.68525
0.3367725066,0.9862
0.365229122,1.104
0.3475260445,0.75525
0.3369518996,0.58825
0.35559188,0.49125
0.3166968628,0.931
0.3183031973,0.32925
0.3052575944,0.48275
0.3555299978,0.60325
0.2977123198,0.265
0.3816821683,0.3766666667
0.3483054658,0.3623333333
0.309239133,0.4363333333
0.3889994015,0.6596666667
0.3272222822,0.5956666667
0.3188128953,0.2626666667
0.353486069,0.8043333333
0.2740307453,0.461
0.3508808383,0.9145
0.308697319,0.1615
0.3902953538,0.41
0.3540501153,1.0315
0.3800824116,0.809
0.317702859,0.6925
0.3554583888,0.584
0.3230532556,1.186
0.297304697,0.6845
0.3103757307,0.323
0.289532235,0.408
0.2539299015,0.233
0.2685304375,0.091
0.2674346165,0.323
0.3114242315,0.144
0.3471624533,0.323
0.304572936,0.392
0.2631557255,0.841
0.3581106533,0.144
0.2894144753,0.323
0.3044181713,0
0.2703679435,0
0.2612883193,0.433
0.233692786,0.347
0.3633895045,0.712
0.2543245315,0.456
0.3498873075,0.144
0.3331946093,0.144
0.335650258,0.233
0.341091275,0.959
0.3220506933,0.664
0.3062731303,0.532
0.2965598283,6.317
0.224060811,6.584
0.3220193147,1.642
0.2669164173,0.898
0.2607231335,0.721
0.287389278,0.065
0.2603581495,3.993
0.22865096,2.885
0.2892731365,0.787
0.329891014,0.194
0.3131518737,0.555
0.320489467,4.03
0.247375073,4.569
0.1865235,0.347
0.234200908,8.028
0.2954777885,8.401
0.2881063695,4.842
0.274260855,1.593
0.2936556515,0.695
0.293931674,0.985
0.3288094945,1.924
0.205631208,3.473
0.2813046105,0
0.276510147,0
0.277563483,4.386
0.323521914,1.342
0.28433842,7.266
0.310520583,2.025
0.301596113,4.521
0.290022951,1.653
0.2756682245,0.785
0.292492343,0.658
0.29732107,0.848
0.332475888,2.312
0.2912342775,4.882
0.325956246,2.761
0.297530962,5.451
0.308459865,1.271
0.281624753,0.456
0.260581608,0.673
0.280239037,0.065
0.297490864,0.182
0.322801517,4.424
0.36241925,3.897
0.249343327,2.28
0.271531672,0.233
0.308727961,0.664
0.263763633,1.328
0.307311672,0.877
0.322988677,0.952
0.299272297,0.848
0.349076467,0.903
0.333929619,2.144
0.369507841,2.452
