DHB ratio,velocity
0.236342882,1.703
0.262111986,1.425
0.268270546,2.331
0.275793579,1.94
0.28514086,0.808
0.269299879,1.102
0.295075447,1.389
0.245697995,3.553
0.270598327,0.456
0.287453785,0.985
0.348059759,1.163
0.327363145,1.593
0.34825367,0.959
0.386618396,1.553
0.39084204,2.132
0.415063349,0.144
0.386183631,0.551
0.394747493,0.584
0.40408492,0.673
0.405083611,1.799
0.411298027,0.912
0.424412564,0.329
0.461129906,1.811
0.41338712,0.065
0.359887324,5.87
0.385194765,4.082
0.401802207,0.288
0.393398385,1.05
0.425376015,2.864
0.362555456,3.162
0.368567946,1.485
0.428222285,0.777
0.420163593,2.065
0.388304479,1.632
0.302693737,0.204
0.236302825,0.274
0.293316524,0.648
0.275143604,0.639
0.344597869,0.091
0.337086733,0.288
0.342027151,0.645
0.277184812,0.233
0.306332458,0.233
0.306886141,0.065
0.26165778,0.551
0.331308892,0.233
0.282719272,0.456
0.350215355,0.065
0.356041817,0.752
0.31607407,0.091
0.37204675,0.868
0.30718977,0.392
0.326103966,2.919
0.300720305,1.073
0.357705002,0.959
0.316844511,0.194
0.306292519,1.761
0.342512546,0.182
0.305562845,1.2
0.272937153,0.288
0.238249314,0.777
0.242172935,0.695
0.256855581,0.968
0.281734385,0.347
0.268045821,0.433
0.25608079,2.193
0.247261448,0.456
0.215179309,0.194
0.312412023,0.329
0.306233601,0.645
0.316898269,0.144
0.290816275,0.182
0.282613568,1.098
0.313549082,0.777
0.283005881,0.233
0.344508514,0.52
0.243763097,0.584
0.256390233,0.712
0.30114698,0.129
0.26435362,0.323
0.263013672,0.595
0.268399675,0.595
0.330626829,1.034
0.273499987,0.329
0.265388602,0.577
0.234520463,0.923
0.237635455,0.266
0.261781022,0.433
0.254702861,0.288
0.236610904,0.861
0.298671847,0.584
0.216266252,1.205
0.281300718,0.712
0.264254785,0.52
0.262534112,0.065
0.241554912,0
0.201517272,0.452
0.210202614,0.612
0.220630353,0.288
0.233670737,0.777
0.218193271,0.798
0.202816539,0.456
0.214840636,0.52
0.227618166,0.144
0.251586358,0.712
0.24316065,0.721
0.215346107,1.148
0.22376695,0.266
0.210626697,0.595
0.309500754,0.698
0.336942336,0.182
0.297015811,1.232
0.329274883,0.387
0.332476053,1.241
0.270181073,0.695
0.303052651,0.452
0.256472631,2.176
0.285788403,0.47
0.234325857,0.323
0.22930383,0.841
0.242829837,0.52
0.303739192,0.329
0.332131877,1.184
0.257633233,0.52
0.184219927,0.456
0.223688928,0.896
0.283182807,0.917
0.241317105,0.968
0.241000937,0.323
0.239054786,1.163
0.289496626,1.368
0.241376892,0.52
0.257792589,0.323
0.25161916,0.144
0.277651399,0
0.290826837,0.612
0.308348122,0.408
0.266930146,0.595
0.336163413,0.774
0.31393919,0
0.348435234,0.584
0.306105874,0.968
0.258055345,0.777
0.342764962,0.144
0.330506507,0.387
0.338382393,1.01
0.30840363,0.787
0.234249869,0.532
0.301687817,0.752
0.192115681,0.144
0.317264167,0.551
0.283368538,0.323
0.269808169,0.532
0.274184179,0.182
0.260470428,0.721
0.274464923,0.323
0.329306508,0.065
0.365183865,0.865
0.319421414,0.905
0.330792631,1.189
0.35329682,0.065
0.303434371,0.673
0.317845205,0.516
0.324802125,0.266
0.369018445,0.47
0.314482736,0.504
0.336362532,0.465
0.35247835,0.491
0.315251867,0
0.344103798,0.695
0.333871111,0.182
0.340486631,9.384
0.385442312,0.387
0.380077494,0.288
0.438891211,0.721
0.469067767,0
0.407899539,0.233
0.425236066,0.551
0.275518339,1.33
0.236204812,0.73
0.26539479,0.365
0.247640186,0.323
0.255582656,1.068
0.310760858,0.532
0.302877293,0.798
0.307716175,0.413
0.272571921,0.465
0.387519725,0.144
0.266648268,1.306
0.305681964,0.258
0.258194897,0.091
0.259404373,0.413
0.28273092,0.456
0.361245564,0.581
0.325064177,0.465
0.413191024,1.593
0.290657846,0.091
0.449474544,0.413
0.440163141,0.577
0.40081574,2.019
0.330718803,1.328
0.379750378,0.577
0.373332582,0.233
0.340941456,0.595
0.38856505,0.504
0.352311191,0
0.420959741,0
0.36796839,0.755
0.270248565,0.266
0.344929304,0.144
0.266897416,0.465
0.266862842,0.144
0.268923252,0.204
0.31593232,0.612
0.327267783,0.258
0.299845748,0.47
0.234923772,0.323
0.307694391,0.182
0.324186637,0.612
0.308636278,0.065
0.27722415,0.376
0.296256367,0.465
0.345427363,0.658
0.309611109,0.635
0.332039382,0.923
0.330114391,0.923
0.297546349,0.329
0.332224858,0.144
0.326988883,0.323
0.286220424,0.413
0.288260601,0.612
0.296204171,1.081
0.278509989,0.129
0.264518174,0.841
0.289863408,0.577
0.319830375,0.584
0.369608287,0.392
0.366456047,0.204
0.441987882,0.877
0.310334807,0.433
0.420868135,0.129
0.375062421,0.329
0.402810374,0.392
0.467064755,0.274
0.406875116,0.47
0.435041597,0.959
0.458300217,0.065
0.536703677,0.712
0.451254156,0.144
0.42139662,0.144
0.444855362,0.233
0.427654684,0.959
0.411504311,6.317
0.462447844,1.642
0.327509677,0.065
0.305339047,3.993
0.339008776,0.787
0.443512165,0.194
0.408519596,0.555
0.376317509,4.03
0.324142608,4.842
0.349117193,1.593
0.353531435,0.695
0.319577152,0.985
0.306597652,0
0.325997706,0
0.345813406,2.025
0.301596113,4.521
0.282936105,1.653
0.275348742,0.785
0.292492343,0.658
0.321550961,0.848
0.332475888,2.312
0.29077757,4.882
0.325956246,2.761
0.308459865,1.271
0.281624753,0.456
0.260581608,0.673
0.280239037,0.065
0.297490864,0.182
0.322801517,4.424
0.36241925,3.897
0.249343327,2.28
0.271531672,0.233
0.308727961,0.664
0.263763633,1.328
0.307311672,0.877
0.322988677,0.952
0.299272297,0.848
0.349076467,0.903
0.333929619,2.144
0.369507841,2.452
0.323450535,0.456
0.306332409,0
0.29161601,0.288
0.260235935,0.577
0.243668524,0.347
0.284969895,1.737
0.247539643,0.577
0.257930352,0.504
0.28544145,0.985
0.241832719,0.274
0.290986772,0
0.264599041,0.329
0.280873027,0.194
0.268689785,0.516
