timepoint,DHB average,Velocity average
T1,0.2957690827,0.9535
T2,0.2752075923,0.8495
T3,0.295817138,1.4895
T4,0.3031951907,1.2895
T5,0.3219473497,0.4495
T6,0.3192663833,0.695
T7,0.3561281163,1.017
T8,0.2938802033,1.893
T9,0.3223924397,0.3445
T10,0.3208775013,0.525
T11,0.3404822928,0.857
T12,0.334594096,0.913
T13,0.3099868725,0.7075
T14,0.3281356418,0.809
T15,0.3649216825,1.442
T16,0.3441413875,0.1175
T17,0.3574755253,0.7095
T18,0.3395570824,0.5176666667
T19,0.3499802572,1.505
T20,0.3105043308,1.046
T21,0.360173457,0.768
T22,0.349148865,0.2703333333
T23,0.3307816592,1.477666667
T24,0.3642745058,0.277
T25,0.3362141755,2.758333333
T26,0.3445578562,1.694
T27,0.3631037533,0.404
T28,0.3332600003,0.5575
T29,0.3217763123,1.213666667
T30,0.3030167357,1.436333333
T31,0.3108769815,1.221333333
T32,0.328280868,0.7066666667
T33,0.3297328328,0.8186666667
T34,0.3583002167,1.256
T35,0.3226961125,1.896333333
T36,0.345626739,0.9263333333
T37,0.3203537452,0.2653333333
T38,0.337791632,0.9963333333
T39,0.33760662,0.6283333333
T40,0.3144091626,0.665
T41,0.3663270508,0.682
T42,0.3754451872,0.686
T43,0.3628575573,0.4655
T44,0.4164319504,0.351
T45,0.2901964043,0.837
T46,0.344921562,0.517
T47,0.332806022,1.182
T48,0.3388769694,0.3965
T49,0.3108305737,0.459
T50,0.3318775296,0.718
T51,0.350040412,0.777
T52,0.3574431118,0.329
T53,0.3423633313,1.184
T54,0.335087969,0.4215
T55,0.2891140143,0.3
T56,0.2485724827,0.448
T57,0.265353767,0.7645
T58,0.2961282442,0.688
T59,0.2815464223,0.459
T60,0.2985977376,0.9685
T61,0.320775418,0.684
T62,0.3330695486,0.5453333333
T63,0.3048600937,1.016666667
T64,0.2574507287,0.5503333333
just entered gonad,0.30555937,0.3533333333
T66,0.2811833015,0.3443333333
T67,0.3078479498,0.87
T68,0.349967836,0.5003333333
T69,0.361263878,0.7513333333
T70,0.3045259073,0.368
T71,0.3491251847,0.265
T72,0.3883227314,0.5045
T73,0.3187526568,1.1055
T74,0.3389466395,0.7235
T75,0.3086214745,0.078
T76,0.3134214028,0.543
T77,0.3237219274,0.4126666667
T78,0.3681607405,0.3406666667
T79,0.3560984995,0.5053333333
T80,0.314621331,0.371
T81,0.3442072366,0.754
T82,0.354705328,0.398
T83,0.3650413368,0.2236666667
T84,0.3790604382,0.5806666667
T85,0.3456810672,0.8413333333
